FID	IID	pheno_random	pheno_strat
tsk_0	tsk_0	0.615570818966409	1.20872444415155
tsk_1	tsk_1	2.22784381066899	2.42651485410123
tsk_2	tsk_2	-0.150253980807359	0.488396875306002
tsk_3	tsk_3	1.10438187484112	1.24537246510313
tsk_4	tsk_4	3.20792570201373	2.30428343340545
tsk_5	tsk_5	1.67779511210619	1.93763298138112
tsk_6	tsk_6	-0.0117891570925082	0.748792268609899
tsk_7	tsk_7	2.41329023089292	1.80223848986303
tsk_8	tsk_8	2.32363773723567	2.49376052158777
tsk_9	tsk_9	0.623313380079103	0.951486429344917
tsk_10	tsk_10	2.6470906466639	2.15239051561369
tsk_11	tsk_11	0.632679701335313	0.186563864008763
tsk_12	tsk_12	2.40010726228763	2.34575137691682
tsk_13	tsk_13	1.32541943763221	0.33458136164966
tsk_14	tsk_14	1.76887753715891	1.10919904266359
tsk_15	tsk_15	2.56088968447844	2.51389720260796
tsk_16	tsk_16	1.71382037246882	2.0084709228938
tsk_17	tsk_17	1.81301729952658	1.56788461679567
tsk_18	tsk_18	1.54759471649298	0.397461667643092
tsk_19	tsk_19	2.11822619335742	1.74079275860407
tsk_20	tsk_20	-0.091288519037413	-0.196562026620767
tsk_21	tsk_21	1.61180969203014	2.26645559334682
tsk_22	tsk_22	2.05399720465328	1.82803380546367
tsk_23	tsk_23	1.7860016986652	2.83222867217734
tsk_24	tsk_24	1.43181349714327	2.02239043388158
tsk_25	tsk_25	1.28131944188246	1.63187473489549
tsk_26	tsk_26	0.490744907248241	0.977261280552465
tsk_27	tsk_27	0.0420327023034157	0.702332896307616
tsk_28	tsk_28	1.44483961742588	1.94984238418549
tsk_29	tsk_29	0.954583179757182	1.34464796975883
tsk_30	tsk_30	0.116202686804378	1.05341469739676
tsk_31	tsk_31	1.53250064695767	1.91352738532561
tsk_32	tsk_32	1.21485581296916	1.44375650948318
tsk_33	tsk_33	1.90969563910431	1.61040548182873
tsk_34	tsk_34	1.95479361534826	2.71144307365141
tsk_35	tsk_35	0.337281061125705	0.907114229491096
tsk_36	tsk_36	3.53135316559107	3.30900984875327
tsk_37	tsk_37	0.19263627672659	0.660641628787816
tsk_38	tsk_38	1.5740530985336	2.81407451002007
tsk_39	tsk_39	0.978200540567123	0.738951559439236
tsk_40	tsk_40	2.780958372855	2.05799083467337
tsk_41	tsk_41	1.43341444381218	1.79157662935327
tsk_42	tsk_42	1.4981604632872	2.67824370596831
tsk_43	tsk_43	0.456312246330669	-0.380683404919658
tsk_44	tsk_44	1.48718878629167	2.71600112611394
tsk_45	tsk_45	2.75319016727695	1.93520532511181
tsk_46	tsk_46	1.77325405066422	1.49253390352089
tsk_47	tsk_47	1.00778083398677	1.36992375860579
tsk_48	tsk_48	2.19315482143128	2.27300560910821
tsk_49	tsk_49	2.74924917510752	3.09773175547574
tsk_50	tsk_50	1.87214262287614	1.98027355234326
tsk_51	tsk_51	0.561888294103501	1.71931824620347
tsk_52	tsk_52	2.27085429967241	1.28997377696939
tsk_53	tsk_53	2.2066671991255	0.74721135432277
tsk_54	tsk_54	3.04694397444325	2.70535523983459
tsk_55	tsk_55	1.79250879753147	0.964976614024067
tsk_56	tsk_56	1.39000141763111	1.78674665750795
tsk_57	tsk_57	2.09648603765973	1.20610076196987
tsk_58	tsk_58	0.814701552140864	1.53030295603062
tsk_59	tsk_59	3.64877354180909	2.99691871829494
tsk_60	tsk_60	0.537479406278585	0.749112912656813
tsk_61	tsk_61	1.90126332463619	1.54649666173573
tsk_62	tsk_62	1.92250217140365	1.75710502966588
tsk_63	tsk_63	1.79813191681116	0.95816317741405
tsk_64	tsk_64	2.41316610337762	1.29852395730419
tsk_65	tsk_65	2.01501298570653	1.1938195257037
tsk_66	tsk_66	0.556522856716371	0.456639263036115
tsk_67	tsk_67	1.13432088954281	1.46563012841671
tsk_68	tsk_68	1.9847100000193	1.3157775999317
tsk_69	tsk_69	-0.0122479018738626	0.845795500005922
tsk_70	tsk_70	2.24672949871326	2.77501674542136
tsk_71	tsk_71	0.326778411032203	0.906515832328634
tsk_72	tsk_72	2.43861812549628	3.49267471748435
tsk_73	tsk_73	1.8472316312104	1.64124558478826
tsk_74	tsk_74	-0.464953547617626	-0.174828016822655
tsk_75	tsk_75	2.16544335040474	1.163290936512
tsk_76	tsk_76	0.378853243498034	0.743338390095776
tsk_77	tsk_77	0.781510021578713	0.802928285783091
tsk_78	tsk_78	1.58517806691961	1.85830411636696
tsk_79	tsk_79	2.00089273696074	1.61577386359627
tsk_80	tsk_80	1.51814870385416	1.14686044167048
tsk_81	tsk_81	0.200650495297106	1.43616960148244
tsk_82	tsk_82	2.22976480274911	0.981878805264363
tsk_83	tsk_83	0.80674219067782	1.19083880335246
tsk_84	tsk_84	1.3652502571635	0.854474452510081
tsk_85	tsk_85	0.35885446601611	0.142682536950935
tsk_86	tsk_86	2.86632665772036	2.41494104393572
tsk_87	tsk_87	1.70190308876803	0.830528484590042
tsk_88	tsk_88	0.747808476309798	1.39601304916494
tsk_89	tsk_89	0.798682191013408	0.522868045050821
tsk_90	tsk_90	0.00778986920805341	0.735278663420892
tsk_91	tsk_91	1.58148855828292	1.95507649528669
tsk_92	tsk_92	2.28426308227586	2.08315318760695
tsk_93	tsk_93	2.63981388104015	1.98569497669888
tsk_94	tsk_94	1.74756564716671	1.50257976242691
tsk_95	tsk_95	-1.25197753135017	-0.24944832253119
tsk_96	tsk_96	2.55435014912092	3.71686659664407
tsk_97	tsk_97	0.4528047393252	0.0577384695079951
tsk_98	tsk_98	1.81971854303978	1.54947371794133
tsk_99	tsk_99	0.700171591233478	0.365312543118803
tsk_100	tsk_100	2.67095377867497	3.71239547221808
tsk_101	tsk_101	2.66600048250316	2.7892115220463
tsk_102	tsk_102	-0.969142785075559	-0.075246766542004
tsk_103	tsk_103	1.92276763163623	2.25329961621195
tsk_104	tsk_104	1.52121117884042	1.85702720915584
tsk_105	tsk_105	2.14520118674614	1.22770322536643
tsk_106	tsk_106	2.53121035157773	2.27874651462254
tsk_107	tsk_107	0.338233169952074	0.797174226211821
tsk_108	tsk_108	3.40734397625503	2.8063293663046
tsk_109	tsk_109	1.02769485151268	0.569135208712037
tsk_110	tsk_110	0.328748975052047	0.897714858268343
tsk_111	tsk_111	0.538279400276934	0.339767363422621
tsk_112	tsk_112	0.318855114294948	1.25764891871544
tsk_113	tsk_113	1.05049944828932	1.90134185888088
tsk_114	tsk_114	1.29483854653008	1.17530193086413
tsk_115	tsk_115	1.06242294448766	2.215472502373
tsk_116	tsk_116	2.0231419635406	1.67037126119017
tsk_117	tsk_117	3.16346815415262	2.58665149609798
tsk_118	tsk_118	1.10661349405698	0.682193626832937
tsk_119	tsk_119	0.923835636205171	0.348734840275978
tsk_120	tsk_120	1.3317510726435	1.12932986764519
tsk_121	tsk_121	1.59360098768362	1.28946913030916
tsk_122	tsk_122	1.2720296183304	1.05181360156674
tsk_123	tsk_123	1.65424403437324	1.67585002208478
tsk_124	tsk_124	0.66099879500282	0.180956224620298
tsk_125	tsk_125	2.19026123737604	2.59002590775904
tsk_126	tsk_126	2.15226315963602	1.95526989727555
tsk_127	tsk_127	2.274173172465	3.22786264037565
tsk_128	tsk_128	1.4344340437751	1.62516028589448
tsk_129	tsk_129	0.698947730690787	1.95741601428425
tsk_130	tsk_130	2.50667745268705	2.93233189593061
tsk_131	tsk_131	-0.330916094997259	-1.07696535936724
tsk_132	tsk_132	1.60638700376056	2.8240597681017
tsk_133	tsk_133	0.673024166090555	1.09497846461042
tsk_134	tsk_134	2.77628815690917	2.48754909586852
tsk_135	tsk_135	0.45694241387512	0.988275101807103
tsk_136	tsk_136	2.01630992874565	2.1957445206825
tsk_137	tsk_137	1.21589104569838	1.49459902922003
tsk_138	tsk_138	0.419361457781734	-0.120966969609881
tsk_139	tsk_139	2.90016958548224	3.50976562815284
