#FID,IID,phenos
tsk_0,tsk_0,-0.97500514688959
tsk_1,tsk_1,0.195837037829322
tsk_2,tsk_2,0.588485824293357
tsk_3,tsk_3,-0.861524907814327
tsk_4,tsk_4,0.282992111987417
tsk_5,tsk_5,-0.403425774510593
tsk_6,tsk_6,-0.677968804536413
tsk_7,tsk_7,0.103278435859914
tsk_8,tsk_8,-0.558924610892596
tsk_9,tsk_9,-1.25350035171039
tsk_10,tsk_10,0.578543770352023
tsk_11,tsk_11,1.48643701366422
tsk_12,tsk_12,0.742459652157786
tsk_13,tsk_13,-0.0295855925937425
tsk_14,tsk_14,-1.40699490512818
tsk_15,tsk_15,1.09164048224993
tsk_16,tsk_16,-1.03857142403605
tsk_17,tsk_17,-1.34290573330712
tsk_18,tsk_18,-0.795976432304126
tsk_19,tsk_19,2.12444285702446
tsk_20,tsk_20,-0.549933269862096
tsk_21,tsk_21,1.99479776660813
tsk_22,tsk_22,-0.376379545697585
tsk_23,tsk_23,1.57523440178274
tsk_24,tsk_24,-0.021040119291187
tsk_25,tsk_25,-2.15554359866968
tsk_26,tsk_26,1.37952329713197
tsk_27,tsk_27,-0.129312987716232
tsk_28,tsk_28,2.25004942270686
tsk_29,tsk_29,0.89720591721318
tsk_30,tsk_30,-1.21895335857351
tsk_31,tsk_31,0.217633771968359
tsk_32,tsk_32,0.112014032037413
tsk_33,tsk_33,-0.915051385654276
tsk_34,tsk_34,-1.19339877238878
tsk_35,tsk_35,0.836530792613559
tsk_36,tsk_36,1.49095723344357
tsk_37,tsk_37,-1.72751376458188
tsk_38,tsk_38,0.36687831754519
tsk_39,tsk_39,0.130600783205939
tsk_40,tsk_40,-1.0811150598152
tsk_41,tsk_41,-1.62649123311696
tsk_42,tsk_42,0.609319100083642
tsk_43,tsk_43,-0.383755947861905
tsk_44,tsk_44,0.264706657925139
tsk_45,tsk_45,-1.0759165239828
tsk_46,tsk_46,-1.70491999112379
tsk_47,tsk_47,-0.0900827020003048
tsk_48,tsk_48,0.284678767985775
tsk_49,tsk_49,-0.443061655640849
tsk_50,tsk_50,-0.299116155521115
tsk_51,tsk_51,-0.773951663282433
tsk_52,tsk_52,0.241080989302393
tsk_53,tsk_53,-0.337584252462634
tsk_54,tsk_54,1.24913356837291
tsk_55,tsk_55,0.708671924594514
tsk_56,tsk_56,1.31850738382222
tsk_57,tsk_57,3.45855127930316
tsk_58,tsk_58,-0.194949215462082
tsk_59,tsk_59,0.428748642434885
tsk_60,tsk_60,-1.49252154687637
tsk_61,tsk_61,-1.68370111789562
tsk_62,tsk_62,-0.517876109637906
tsk_63,tsk_63,-0.149147894988797
tsk_64,tsk_64,-1.08652719628998
tsk_65,tsk_65,0.193691698819278
tsk_66,tsk_66,0.329910367921134
tsk_67,tsk_67,0.492486959251446
tsk_68,tsk_68,2.17598706753291
tsk_69,tsk_69,-1.25682979141057
tsk_70,tsk_70,0.951473275215576
tsk_71,tsk_71,0.393967092946691
tsk_72,tsk_72,-0.324330810182888
tsk_73,tsk_73,-0.925294784867353
tsk_74,tsk_74,0.299560955141032
tsk_75,tsk_75,1.21645996241697
tsk_76,tsk_76,1.58562936952456
tsk_77,tsk_77,0.405745174032735
tsk_78,tsk_78,-0.783458308260446
tsk_79,tsk_79,-1.28067406074566
tsk_80,tsk_80,-2.31651581433253
tsk_81,tsk_81,0.114900009029955
tsk_82,tsk_82,-0.0809616379767985
tsk_83,tsk_83,-0.586737902936393
tsk_84,tsk_84,1.35645536730176
tsk_85,tsk_85,0.498294258048459
tsk_86,tsk_86,0.403664808900505
tsk_87,tsk_87,0.548071666143678
tsk_88,tsk_88,0.69000354740375
tsk_89,tsk_89,-0.287440566952137
tsk_90,tsk_90,-0.518900350819789
tsk_91,tsk_91,1.25046233262861
tsk_92,tsk_92,-0.211776982024334
tsk_93,tsk_93,0.139959823763845
tsk_94,tsk_94,0.985552828208825
tsk_95,tsk_95,0.509503300398785
tsk_96,tsk_96,-0.541902363036615
tsk_97,tsk_97,1.38308010492722
tsk_98,tsk_98,-0.32775511522658
tsk_99,tsk_99,-0.472686883984513
tsk_200,tsk_200,-0.906587960064921
tsk_201,tsk_201,0.788886525825764
tsk_202,tsk_202,0.228192442975902
tsk_203,tsk_203,0.452571091843126
tsk_204,tsk_204,-1.86014298162096
tsk_205,tsk_205,0.391726674823281
tsk_206,tsk_206,-1.41747590555397
tsk_207,tsk_207,-0.180270487425286
tsk_208,tsk_208,0.498374591664726
tsk_209,tsk_209,0.602601286313654
tsk_210,tsk_210,-0.482030754419009
tsk_211,tsk_211,-0.126249034730298
tsk_212,tsk_212,0.874536922540748
tsk_213,tsk_213,-1.2450318063367
tsk_214,tsk_214,-1.34912621384085
tsk_215,tsk_215,1.01694423243582
tsk_216,tsk_216,-1.8249992019239
tsk_217,tsk_217,-0.437635284835325
tsk_218,tsk_218,-1.37859915738878
tsk_219,tsk_219,-1.82193327012465
tsk_220,tsk_220,-0.795487208333945
tsk_221,tsk_221,-0.567274078338626
tsk_222,tsk_222,1.29384313106255
tsk_223,tsk_223,1.1592316915263
tsk_224,tsk_224,0.220465195365126
tsk_225,tsk_225,-0.853630424375995
tsk_226,tsk_226,1.33906932097018
tsk_227,tsk_227,-1.3226003598909
tsk_228,tsk_228,-0.371373695470326
tsk_229,tsk_229,-0.313737883219275
tsk_230,tsk_230,-1.26374118911887
tsk_231,tsk_231,0.811137712122794
tsk_232,tsk_232,-1.5669141530137
tsk_233,tsk_233,-1.45044410622359
